arm	rep	pair	P	note
null	19	A	NA	invariant
null	19	ctrl	0.657169040608105	
feedback	20	A	1.23722065582909e-05	
feedback	20	ctrl	0.261624860533954	
trait2gen	20	A	0.113618028489987	
trait2gen	20	ctrl	0.574366485243073	
gen2trait	20	A	2.66455070471247e-05	
gen2trait	20	ctrl	0.523579934526094	
null	20	A	0.259302573818683	
null	20	ctrl	0.662196465660765	
feedback	21	A	NA	invariant
feedback	21	ctrl	0.54321292722466	
trait2gen	21	A	NA	invariant
trait2gen	21	ctrl	0.901006856995769	
gen2trait	21	A	NA	invariant
gen2trait	21	ctrl	0.949826221070039	
null	21	A	NA	invariant
null	21	ctrl	0.80653638731517	
feedback	22	A	5.50843855857819e-07	
feedback	22	ctrl	0.285871209144675	
trait2gen	22	A	0.0582643458196208	
trait2gen	22	ctrl	0.00341259620034366	
gen2trait	22	A	3.0321393314216e-07	
gen2trait	22	ctrl	0.0711213536553845	
null	22	A	0.672441928776367	
null	22	ctrl	0.472780406484938	
feedback	23	A	NA	invariant
feedback	23	ctrl	0.757259855264206	
trait2gen	23	A	NA	invariant
trait2gen	23	ctrl	0.936256442199369	
gen2trait	23	A	NA	invariant
gen2trait	23	ctrl	0.381916913241332	
null	23	A	NA	invariant
null	23	ctrl	0.802396038535	
feedback	24	A	1.45222339589377e-10	
feedback	24	ctrl	0.348024926930761	
trait2gen	24	A	0.0516982288200985	
trait2gen	24	ctrl	0.274606668183719	
gen2trait	24	A	0.00295322385733355	
gen2trait	24	ctrl	0.504378576236325	
null	24	A	0.798950979043525	
null	24	ctrl	0.845066950093696	
feedback	25	A	1.49481003491823e-09	
feedback	25	ctrl	0.484696230118867	
trait2gen	25	A	0.235685032413682	
trait2gen	25	ctrl	0.200855274327595	
gen2trait	25	A	0.00239791512858905	
gen2trait	25	ctrl	0.981803669919981	
null	25	A	0.164750441052854	
null	25	ctrl	0.454388919394999	
feedback	26	A	1.2819680210849e-09	
feedback	26	ctrl	0.0234166689853999	
trait2gen	26	A	0.137737587731553	
trait2gen	26	ctrl	0.718574232609585	
gen2trait	26	A	8.87127465977553e-05	
gen2trait	26	ctrl	0.0923392714508822	
null	26	A	0.885316850741927	
null	26	ctrl	0.49146708828247	
feedback	27	A	7.79276473874217e-12	
feedback	27	ctrl	NA	invariant
trait2gen	27	A	0.109239397882116	
trait2gen	27	ctrl	NA	invariant
gen2trait	27	A	1.6340642173605e-06	
gen2trait	27	ctrl	NA	invariant
null	27	A	0.403686318009958	
null	27	ctrl	NA	invariant
feedback	28	A	0.000544099562109309	
feedback	28	ctrl	NA	invariant
trait2gen	28	A	0.612976536544845	
trait2gen	28	ctrl	NA	invariant
gen2trait	28	A	0.00275630860347192	
gen2trait	28	ctrl	NA	invariant
null	28	A	0.769363163147664	
null	28	ctrl	NA	invariant
feedback	29	A	1.90704897585733e-05	
feedback	29	ctrl	0.804876139570287	
trait2gen	29	A	0.216551304489085	
trait2gen	29	ctrl	0.455485632175086	
gen2trait	29	A	1.06677002084042e-07	
gen2trait	29	ctrl	0.143908032551375	
null	29	A	0.00574666556248986	
null	29	ctrl	0.269688311467342	
feedback	30	A	4.90644430694637e-07	
feedback	30	ctrl	0.917624384404674	
trait2gen	30	A	0.000135846834813004	
trait2gen	30	ctrl	0.218544330065862	
gen2trait	30	A	1.83077237754142e-07	
gen2trait	30	ctrl	0.743651037518941	
null	30	A	0.282268264556236	
null	30	ctrl	0.841284409816364	
feedback	31	A	NA	invariant
feedback	31	ctrl	NA	invariant
trait2gen	31	A	NA	invariant
trait2gen	31	ctrl	NA	invariant
gen2trait	31	A	NA	invariant
gen2trait	31	ctrl	NA	invariant
null	31	A	NA	invariant
null	31	ctrl	NA	invariant
feedback	32	A	7.99790802664666e-05	
feedback	32	ctrl	0.275403415915733	
trait2gen	32	A	0.441213485361112	
trait2gen	32	ctrl	0.68028495197717	
gen2trait	32	A	0.00601017957965941	
gen2trait	32	ctrl	0.149840358346492	
null	32	A	0.496667733942707	
null	32	ctrl	0.778352556173563	
feedback	33	A	0.0155175076789487	
feedback	33	ctrl	1	
trait2gen	33	A	NA	invariant
trait2gen	33	ctrl	0.63712217922341	
gen2trait	33	A	0.00754900532052929	
gen2trait	33	ctrl	0.241774374443194	
null	33	A	NA	invariant
null	33	ctrl	0.678748984558086	
feedback	34	A	1.08685956915214e-07	
feedback	34	ctrl	0.341258694332423	
trait2gen	34	A	0.0750136664687156	
trait2gen	34	ctrl	0.868030739374055	
gen2trait	34	A	0.00271856130150742	
gen2trait	34	ctrl	0.242386516324981	
null	34	A	0.924006389529123	
null	34	ctrl	0.286600486625286	
feedback	35	A	2.74640837621222e-05	
feedback	35	ctrl	0.461447713352771	
trait2gen	35	A	0.0455165829150802	
trait2gen	35	ctrl	0.939220289927199	
gen2trait	35	A	2.83636155296139e-06	
gen2trait	35	ctrl	0.506017798576825	
null	35	A	0.918429452284385	
null	35	ctrl	0.483378881393373	
feedback	36	A	NA	invariant
feedback	36	ctrl	1	
trait2gen	36	A	NA	invariant
trait2gen	36	ctrl	1	
gen2trait	36	A	NA	invariant
gen2trait	36	ctrl	1	
null	36	A	NA	invariant
null	36	ctrl	0.397267854959096	
feedback	37	A	NA	invariant
feedback	37	ctrl	0.0479561366921063	
trait2gen	37	A	NA	invariant
trait2gen	37	ctrl	0.501953069128112	
gen2trait	37	A	NA	invariant
gen2trait	37	ctrl	0.428224304328755	
null	37	A	NA	invariant
null	37	ctrl	0.267934877347671	
feedback	38	A	0.000302856621132805	
feedback	38	ctrl	0.229911793193021	
trait2gen	38	A	0.00174374175410806	
trait2gen	38	ctrl	0.437655027556766	
gen2trait	38	A	0.000159981745494413	
gen2trait	38	ctrl	0.370575448300222	
null	38	A	0.101155887069786	
null	38	ctrl	0.862494411427914	
feedback	39	A	0.0184781686155517	
feedback	39	ctrl	0.00386574087182749	
trait2gen	39	A	0.759174232422881	
trait2gen	39	ctrl	0.927235975324022	
gen2trait	39	A	0.0313160011943552	
gen2trait	39	ctrl	0.35854006023761	
null	39	A	0.267281797535474	
null	39	ctrl	0.990425065299417	
feedback	40	A	NA	invariant
feedback	40	ctrl	0.155323200815107	
trait2gen	40	A	NA	invariant
trait2gen	40	ctrl	0.381553994960987	
gen2trait	40	A	NA	invariant
gen2trait	40	ctrl	0.644664931527632	
null	40	A	NA	invariant
null	40	ctrl	0.472254135952963	
feedback	41	A	NA	invariant
feedback	41	ctrl	0.863310507462017	
trait2gen	41	A	NA	invariant
trait2gen	41	ctrl	0.918882690238206	
gen2trait	41	A	NA	invariant
gen2trait	41	ctrl	0.928264938512021	
null	41	A	NA	invariant
null	41	ctrl	0.0526124425056282	
feedback	42	A	NA	invariant
feedback	42	ctrl	NA	invariant
