arm	rep	pair	P	note
null	93	ctrl	0.277584755646803	
feedback	94	A	NA	invariant
feedback	94	ctrl	0.504961409224419	
trait2gen	94	A	NA	invariant
trait2gen	94	ctrl	0.420004422106606	
gen2trait	94	A	NA	invariant
gen2trait	94	ctrl	0.85305012752524	
null	94	A	NA	invariant
null	94	ctrl	0.364283277869029	
feedback	95	A	NA	invariant
feedback	95	ctrl	0.31516592830201	
trait2gen	95	A	NA	invariant
trait2gen	95	ctrl	0.166775445525019	
gen2trait	95	A	NA	invariant
gen2trait	95	ctrl	0.66894405918125	
null	95	A	NA	invariant
null	95	ctrl	0.158947130446862	
feedback	96	A	NA	invariant
feedback	96	ctrl	0.660432329484887	
trait2gen	96	A	NA	invariant
trait2gen	96	ctrl	0.914600004882285	
gen2trait	96	A	NA	invariant
gen2trait	96	ctrl	0.71888598236671	
null	96	A	NA	invariant
null	96	ctrl	0.187275788438467	
feedback	97	A	0.000338524107027606	
feedback	97	ctrl	0.370191795500536	
trait2gen	97	A	0.69287002026353	
trait2gen	97	ctrl	0.18144909399771	
gen2trait	97	A	0.00388458803794731	
gen2trait	97	ctrl	0.00583201948062972	
null	97	A	0.331166782576661	
null	97	ctrl	0.408153757971351	
feedback	98	A	0.0020359741645118	
feedback	98	ctrl	NA	invariant
trait2gen	98	A	0.716488731962902	
trait2gen	98	ctrl	NA	invariant
gen2trait	98	A	0.000742165781560148	
gen2trait	98	ctrl	NA	invariant
null	98	A	0.695801649587774	
null	98	ctrl	NA	invariant
feedback	99	A	7.32388295985397e-06	
feedback	99	ctrl	0.921477004416272	
trait2gen	99	A	0.187988102940664	
trait2gen	99	ctrl	0.950844855612256	
gen2trait	99	A	0.000214913104813572	
gen2trait	99	ctrl	0.841780698329147	
null	99	A	0.386403294696573	
null	99	ctrl	0.756381774550361	
feedback	100	A	0.989112939361981	
feedback	100	ctrl	0.0196702433359986	
trait2gen	100	A	0.662461140441318	
trait2gen	100	ctrl	0.0865995262412333	
gen2trait	100	A	0.905686797779344	
gen2trait	100	ctrl	0.893166575957891	
null	100	A	0.363398628671948	
null	100	ctrl	0.757300364216631	
feedback	101	A	3.27512881244144e-06	
feedback	101	ctrl	NA	invariant
trait2gen	101	A	0.266349946886189	
trait2gen	101	ctrl	NA	invariant
gen2trait	101	A	0.00113365677530466	
gen2trait	101	ctrl	NA	invariant
null	101	A	0.502743678446332	
null	101	ctrl	NA	invariant
feedback	102	A	3.71883032507078e-10	
feedback	102	ctrl	0.0776258545157308	
trait2gen	102	A	0.0469674869866603	
trait2gen	102	ctrl	0.349425125446027	
gen2trait	102	A	2.00472975658205e-06	
gen2trait	102	ctrl	0.192757008139249	
null	102	A	0.207144682758012	
null	102	ctrl	0.133102253712167	
feedback	103	A	2.15021901405527e-05	
feedback	103	ctrl	0.395838393550322	
trait2gen	103	A	0.00445759019465645	
trait2gen	103	ctrl	0.0743293924328673	
gen2trait	103	A	0.000623017240764164	
gen2trait	103	ctrl	0.646344560405932	
null	103	A	0.968714481189822	
null	103	ctrl	0.259459995698508	
feedback	104	A	0.00191684623358123	
feedback	104	ctrl	0.119882913507761	
trait2gen	104	A	0.632892042767732	
trait2gen	104	ctrl	0.792181324269444	
gen2trait	104	A	0.00347594256186881	
gen2trait	104	ctrl	0.552088372824708	
null	104	A	0.149721432888472	
null	104	ctrl	0.866279831802302	
feedback	105	A	1.37870307715562e-09	
feedback	105	ctrl	0.349798012285358	
trait2gen	105	A	0.00186578887232465	
trait2gen	105	ctrl	0.904847169061151	
gen2trait	105	A	1.25583471146463e-06	
gen2trait	105	ctrl	0.810118549340484	
null	105	A	1	
null	105	ctrl	0.516466111873785	
feedback	106	A	0.00518950207762763	
feedback	106	ctrl	0.38693963941846	
trait2gen	106	A	0.161474109680687	
trait2gen	106	ctrl	0.777544308403956	
gen2trait	106	A	0.161914577069163	
gen2trait	106	ctrl	0.0615545527794103	
null	106	A	0.625114911484888	
null	106	ctrl	0.379197394177343	
feedback	107	A	1.76091508670714e-08	
feedback	107	ctrl	0.999952652963304	
trait2gen	107	A	0.0209782852330358	
trait2gen	107	ctrl	0.228960335916343	
gen2trait	107	A	3.17817325195002e-05	
gen2trait	107	ctrl	0.0720697808163952	
null	107	A	0.555647151394789	
null	107	ctrl	0.762525653355027	
feedback	108	A	3.5938868200513e-07	
feedback	108	ctrl	0.498107982335921	
trait2gen	108	A	0.452627540342131	
trait2gen	108	ctrl	0.258679650839311	
gen2trait	108	A	0.119027334919469	
gen2trait	108	ctrl	0.0581669882126829	
null	108	A	0.19883825280656	
null	108	ctrl	0.805128433852915	
feedback	109	A	4.91783520304489e-05	
feedback	109	ctrl	0.803227504607431	
trait2gen	109	A	0.820840446426543	
trait2gen	109	ctrl	0.800041655022647	
gen2trait	109	A	0.0170927156619145	
gen2trait	109	ctrl	0.234801560987409	
null	109	A	0.325888314560984	
null	109	ctrl	0.489315505970017	
feedback	110	A	3.21859526431317e-06	
feedback	110	ctrl	0.759523553074188	
trait2gen	110	A	0.714570465608226	
trait2gen	110	ctrl	0.0310435240848163	
gen2trait	110	A	2.1972172126839e-05	
gen2trait	110	ctrl	0.0650235631101844	
null	110	A	0.00557662126755999	
null	110	ctrl	0.0700539220351277	
feedback	111	A	8.11964936498471e-06	
feedback	111	ctrl	0.746296281259164	
trait2gen	111	A	0.649121269736403	
trait2gen	111	ctrl	0.335832630316452	
gen2trait	111	A	0.00430640637419238	
gen2trait	111	ctrl	0.086081128022552	
null	111	A	0.0396006748322325	
null	111	ctrl	0.670324034678209	
feedback	112	A	1.30345336858592e-05	
feedback	112	ctrl	0.00583519633810304	
trait2gen	112	A	0.516938096630538	
trait2gen	112	ctrl	0.0606998106247853	
gen2trait	112	A	0.00180707443644254	
gen2trait	112	ctrl	0.610520352694884	
null	112	A	0.884038264147604	
null	112	ctrl	0.0246424295205444	
feedback	113	A	1.82512541759196e-07	
feedback	113	ctrl	0.364828476791808	
trait2gen	113	A	0.0537895908078117	
trait2gen	113	ctrl	0.186711798514524	
gen2trait	113	A	0.000132589111984265	
gen2trait	113	ctrl	0.109439905269887	
null	113	A	0.326428049098266	
null	113	ctrl	0.62596030928012	
feedback	114	A	1.12584393873862e-06	
feedback	114	ctrl	0.965835127203093	
trait2gen	114	A	0.254750844075762	
trait2gen	114	ctrl	0.764334239727584	
gen2trait	114	A	0.0223682595662947	
gen2trait	114	ctrl	0.0398792039996193	
null	114	A	0.847245285130149	
null	114	ctrl	0.907405296332266	
feedback	115	A	NA	invariant
feedback	115	ctrl	0.520491370466147	
trait2gen	115	A	NA	invariant
trait2gen	115	ctrl	0.746844557833887	
gen2trait	115	A	NA	invariant
gen2trait	115	ctrl	0.546375685737768	
null	115	A	NA	invariant
null	115	ctrl	0.958407371716404	
feedback	116	A	9.02375952946197e-05	
feedback	116	ctrl	0.45892213133379	
trait2gen	116	A	0.00663233396321404	
trait2gen	116	ctrl	0.283665441912547	
gen2trait	116	A	0.00167274136758896	
gen2trait	116	ctrl	0.0833068114237335	
null	116	A	0.447065006516704	
null	116	ctrl	0.0684629213299214	
feedback	117	A	NA	invariant
feedback	117	ctrl	NA	invariant
trait2gen	117	A	NA	invariant
trait2gen	117	ctrl	NA	invariant
gen2trait	117	A	NA	invariant
gen2trait	117	ctrl	NA	invariant
null	117	A	NA	invariant
null	117	ctrl	NA	invariant
feedback	118	A	0.00069487234950366	
feedback	118	ctrl	NA	invariant
trait2gen	118	A	0.778014404533529	
trait2gen	118	ctrl	NA	invariant
gen2trait	118	A	0.000715472469849198	
gen2trait	118	ctrl	NA	invariant
null	118	A	0.89074067206914	
null	118	ctrl	NA	invariant
feedback	119	A	NA	invariant
feedback	119	ctrl	NA	invariant
trait2gen	119	A	NA	invariant
trait2gen	119	ctrl	NA	invariant
gen2trait	119	A	NA	invariant
gen2trait	119	ctrl	NA	invariant
null	119	A	NA	invariant
null	119	ctrl	NA	invariant
feedback	120	A	NA	invariant
feedback	120	ctrl	NA	invariant
trait2gen	120	A	NA	invariant
trait2gen	120	ctrl	NA	invariant
gen2trait	120	A	NA	invariant
gen2trait	120	ctrl	NA	invariant
null	120	A	NA	invariant
null	120	ctrl	NA	invariant
feedback	121	A	NA	invariant
feedback	121	ctrl	0.501559945526796	
trait2gen	121	A	NA	invariant
trait2gen	121	ctrl	0.0781101730710646	
gen2trait	121	A	NA	invariant
gen2trait	121	ctrl	0.472886904765239	
null	121	A	NA	invariant
null	121	ctrl	0.185890457670681	
feedback	122	A	0.000108175182748605	
feedback	122	ctrl	NA	invariant
trait2gen	122	A	0.180757512420562	
trait2gen	122	ctrl	NA	invariant
gen2trait	122	A	0.00532485954939672	
gen2trait	122	ctrl	NA	invariant
null	122	A	0.479446958925587	
null	122	ctrl	NA	invariant
feedback	123	A	0.282797492059567	
feedback	123	ctrl	0.253840758619304	
trait2gen	123	A	0.18459988400478	
trait2gen	123	ctrl	0.449863578643481	
gen2trait	123	A	0.000242288047863446	
gen2trait	123	ctrl	0.301354535539885	
null	123	A	0.336668399409592	
null	123	ctrl	0.929443379955694	
feedback	124	A	0.00150940547762461	
feedback	124	ctrl	NA	invariant
trait2gen	124	A	0.00240477874426852	
trait2gen	124	ctrl	NA	invariant
gen2trait	124	A	1.01323849298542e-06	
gen2trait	124	ctrl	NA	invariant
null	124	A	0.659870919488924	
null	124	ctrl	NA	invariant
feedback	125	A	NA	invariant
feedback	125	ctrl	NA	invariant
trait2gen	125	A	NA	invariant
trait2gen	125	ctrl	NA	invariant
gen2trait	125	A	NA	invariant
gen2trait	125	ctrl	NA	invariant
null	125	A	NA	invariant
null	125	ctrl	NA	invariant
feedback	126	A	6.29547003539017e-09	
feedback	126	ctrl	0.752871892955019	
trait2gen	126	A	0.881983371890126	
trait2gen	126	ctrl	0.850948615431898	
gen2trait	126	A	3.28557322545907e-05	
gen2trait	126	ctrl	0.0362111419851236	
null	126	A	0.480697544582168	
null	126	ctrl	0.424282324635372	
feedback	127	A	NA	invariant
feedback	127	ctrl	0.361159945904262	
trait2gen	127	A	NA	invariant
trait2gen	127	ctrl	0.652038398953385	
gen2trait	127	A	NA	invariant
gen2trait	127	ctrl	0.634778051164975	
null	127	A	NA	invariant
null	127	ctrl	0.450233759373643	
feedback	128	A	NA	invariant
feedback	128	ctrl	0.551160912746665	
trait2gen	128	A	NA	invariant
trait2gen	128	ctrl	0.998603097712473	
gen2trait	128	A	0.95602404684273	
gen2trait	128	ctrl	0.496212921009366	
null	128	A	NA	invariant
null	128	ctrl	0.754236413745543	
feedback	129	A	0.000104328720267037	
feedback	129	ctrl	0.290201982259715	
trait2gen	129	A	0.17262576233308	
trait2gen	129	ctrl	0.717450250666146	
gen2trait	129	A	1.75480732178456e-08	
gen2trait	129	ctrl	0.174527121200336	
null	129	A	0.982654360231655	
null	129	ctrl	0.732651913031674	
feedback	130	A	NA	invariant
feedback	130	ctrl	0.138951557645293	
trait2gen	130	A	NA	invariant
trait2gen	130	ctrl	0.862804902303361	
gen2trait	130	A	NA	invariant
gen2trait	130	ctrl	0.57823866235649	
null	130	A	NA	invariant
null	130	ctrl	0.675498583437469	
feedback	131	A	NA	invariant
feedback	131	ctrl	NA	invariant
trait2gen	131	A	NA	invariant
trait2gen	131	ctrl	NA	invariant
gen2trait	131	A	NA	invariant
gen2trait	131	ctrl	NA	invariant
null	131	A	NA	invariant
null	131	ctrl	NA	invariant
feedback	132	A	1.53309479205465e-09	
feedback	132	ctrl	0.859231970053685	
trait2gen	132	A	0.474721857263904	
trait2gen	132	ctrl	0.874964350512792	
gen2trait	132	A	0.000178154714109659	
gen2trait	132	ctrl	1	
null	132	A	0.147705557648948	
null	132	ctrl	0.829976333856046	
feedback	133	A	1.748736802786e-06	
feedback	133	ctrl	0.0359180686510934	
trait2gen	133	A	0.464969900083263	
trait2gen	133	ctrl	0.791002245191766	
gen2trait	133	A	1.30054964984114e-05	
gen2trait	133	ctrl	0.0202754767158849	
null	133	A	0.435107284976369	
null	133	ctrl	0.492665845322013	
feedback	134	A	3.48888549517622e-10	
feedback	134	ctrl	0.467006024336894	
trait2gen	134	A	0.260560523286967	
trait2gen	134	ctrl	0.365433234818901	
gen2trait	134	A	0.00214691841147105	
gen2trait	134	ctrl	0.318756278589781	
null	134	A	0.275938343007985	
null	134	ctrl	0.309647498243614	
feedback	135	A	0.000918425393920219	
feedback	135	ctrl	0.384210604142258	
trait2gen	135	A	0.255796379491962	
trait2gen	135	ctrl	0.728623260447767	
gen2trait	135	A	0.000162261202215059	
gen2trait	135	ctrl	0.204668591927539	
null	135	A	0.522420383132662	
null	135	ctrl	0.183510175352988	
feedback	136	A	3.56721506578541e-06	
feedback	136	ctrl	0.229596074261786	
trait2gen	136	A	0.162948872676886	
trait2gen	136	ctrl	0.214617654805997	
gen2trait	136	A	0.000582837830408911	
gen2trait	136	ctrl	0.0430758291632353	
null	136	A	0.479359520278764	
null	136	ctrl	0.0964283683189873	
feedback	137	A	2.10109315121567e-05	
feedback	137	ctrl	NA	invariant
trait2gen	137	A	NA	invariant
trait2gen	137	ctrl	NA	invariant
gen2trait	137	A	NA	invariant
gen2trait	137	ctrl	NA	invariant
null	137	A	0.0451606122604699	
null	137	ctrl	NA	invariant
feedback	138	A	NA	invariant
feedback	138	ctrl	NA	invariant
trait2gen	138	A	NA	invariant
trait2gen	138	ctrl	NA	invariant
gen2trait	138	A	NA	invariant
gen2trait	138	ctrl	NA	invariant
null	138	A	NA	invariant
null	138	ctrl	NA	invariant
feedback	139	A	2.86882805189804e-07	
feedback	139	ctrl	0.280500677685155	
trait2gen	139	A	0.0534545661921107	
trait2gen	139	ctrl	0.506507281364026	
gen2trait	139	A	4.05780683711219e-05	
gen2trait	139	ctrl	0.612522949474185	
null	139	A	0.710637788219479	
null	139	ctrl	0.629381850641218	
feedback	140	A	7.20282552818147e-13	
feedback	140	ctrl	0.962441487082081	
trait2gen	140	A	0.553862031407342	
trait2gen	140	ctrl	0.254415329127555	
gen2trait	140	A	0.0106782307258199	
gen2trait	140	ctrl	0.528116404525231	
null	140	A	0.103783651257974	
null	140	ctrl	0.292858777379169	
feedback	141	A	NA	invariant
feedback	141	ctrl	0.980754115705551	
trait2gen	141	A	NA	invariant
trait2gen	141	ctrl	0.23449659330474	
gen2trait	141	A	NA	invariant
gen2trait	141	ctrl	0.898210473537282	
null	141	A	NA	invariant
null	141	ctrl	0.270960034372338	
feedback	142	A	3.77960062497848e-06	
feedback	142	ctrl	NA	invariant
trait2gen	142	A	0.0341067270818854	
trait2gen	142	ctrl	NA	invariant
gen2trait	142	A	0.00374476383954331	
gen2trait	142	ctrl	NA	invariant
null	142	A	0.859689672587042	
null	142	ctrl	NA	invariant
feedback	143	A	NA	invariant
feedback	143	ctrl	NA	invariant
trait2gen	143	A	NA	invariant
trait2gen	143	ctrl	NA	invariant
gen2trait	143	A	NA	invariant
gen2trait	143	ctrl	NA	invariant
null	143	A	NA	invariant
null	143	ctrl	NA	invariant
feedback	144	A	5.89756287009822e-06	
feedback	144	ctrl	0.474838269859042	
trait2gen	144	A	0.168963426298724	
trait2gen	144	ctrl	0.342010277351554	
gen2trait	144	A	9.26821593496444e-05	
gen2trait	144	ctrl	0.323231848751396	
null	144	A	0.999999934950295	
null	144	ctrl	0.615466651678242	
feedback	145	A	NA	invariant
feedback	145	ctrl	0.280363458067143	
trait2gen	145	A	NA	invariant
trait2gen	145	ctrl	0.0154108158523048	
gen2trait	145	A	NA	invariant
gen2trait	145	ctrl	0.637580859095097	
null	145	A	NA	invariant
null	145	ctrl	0.847834461213248	
feedback	146	A	9.73254701975158e-09	
feedback	146	ctrl	0.0513224217236991	
trait2gen	146	A	0.0711011959448604	
trait2gen	146	ctrl	0.0335789006263534	
gen2trait	146	A	0.0410655652250237	
gen2trait	146	ctrl	0.0340405339724325	
null	146	A	0.573067782548002	
null	146	ctrl	0.332080406644919	
feedback	147	A	NA	invariant
feedback	147	ctrl	0.692600083854009	
trait2gen	147	A	0.0250235655868811	
trait2gen	147	ctrl	0.647483919039701	
gen2trait	147	A	0.0286478612930022	
gen2trait	147	ctrl	0.858536443269686	
null	147	A	0.522189687163436	
null	147	ctrl	0.850763355828856	
feedback	148	A	NA	invariant
feedback	148	ctrl	NA	invariant
trait2gen	148	A	NA	invariant
trait2gen	148	ctrl	NA	invariant
gen2trait	148	A	NA	invariant
gen2trait	148	ctrl	NA	invariant
null	148	A	NA	invariant
null	148	ctrl	NA	invariant
feedback	149	A	0.000533078002615085	
feedback	149	ctrl	0.477129618409092	
trait2gen	149	A	0.27798662692353	
trait2gen	149	ctrl	0.306779931966698	
gen2trait	149	A	0.000191545078839495	
gen2trait	149	ctrl	0.912142800887398	
null	149	A	0.435428163562558	
null	149	ctrl	0.99446812563873	
feedback	150	A	NA	invariant
feedback	150	ctrl	0.13094968247617	
trait2gen	150	A	NA	invariant
trait2gen	150	ctrl	0.0932254885719709	
gen2trait	150	A	NA	invariant
gen2trait	150	ctrl	0.108641996077813	
null	150	A	NA	invariant
null	150	ctrl	0.751676689230119	
