tag	character	n_tips	n_present	lnL_full	lnL_null	lambda0	lambda1	mu0	mu1	q01	q10	chisq	p	status
f1.0_r012	control	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r013	driver	150	62	-184.834073098273	-185.293273292184	1.11608230644782	0.902501072484522	0.155395541463417	1.29438152914827e-07	5.65608500709332e-09	0.152624267119791	0.918400387821293	0.631788751977401	ok
f1.0_r013	control	150	97	-188.262095470399	-189.13070457182	0.836952809692338	1.14702586450387	1.12014119047549e-08	0.2238082802792	4.7399937391227e-10	0.0846702846770325	1.73721820284175	0.419534673801758	ok
f1.0_r014	driver	150	81	-210.415142514009	-213.508722628604	0.649828486853061	1.41985654038869	0.0122501797615724	0.961553078610956	1.44172100028205e-11	0.0401517968810764	6.18716022918966	0.045339343450175	ok
f1.0_r014	control	150	86	-246.523275253938	-247.651377993057	1.02119905195378	1.04752512068501	0.809210113393468	0.398214239105212	5.87454463284634e-09	0.230252569492951	2.25620547823826	0.323646716545813	ok
f1.0_r015	driver	150	70	-209.185841979113	-211.222441777223	1.26825119713031	0.840670803426522	0.41285901772314	0.247073827797091	1.82525889410485e-09	0.112134288725865	4.07319959622112	0.130471587254694	ok
f1.0_r015	control	150	42	-198.582376714276	-199.29602859718	1.16673626935228	0.908547519083064	0.480219161551722	0.354931290070599	1.42678269420296e-10	0.154403825871466	1.42730376580761	0.489852044779089	ok
f1.0_r016	driver	150	72	-222.072448840087	-222.97035622388	0.8908799819266	1.15201082628569	0.47136443041077	0.594590195721703	1.86624612444331e-08	0.104308172579817	1.7958147675846	0.407421344814328	ok
f1.0_r016	control	150	69	-229.899159276255	-230.095784811349	0.969090439616499	1.08993841642114	0.525569714955772	0.578524519419085	9.08764217680555e-09	0.113465199062006	0.393251070187489	0.82149819796867	ok
f1.0_r017	driver	150	60	-227.132127892452	-227.700857071985	0.897452639225565	0.73606934299742	0.0622707001787171	0.0401226860707515	1.04167618107602e-08	0.149706724673937	1.13745835906633	0.566244576852511	ok
f1.0_r017	control	150	61	-227.494494164109	-227.568153341766	0.869117764110534	0.825433985586232	0.199303954193667	0.0442354639976417	6.32110519818036e-10	0.203144079830838	0.147318355312905	0.928988259847688	ok
f1.0_r018	driver	150	1	-174.321415413624	-177.800623096142	1.08713885650426	0.152297836685977	0.419979750601615	2.8978730064761e-07	4.86892251244498e-11	0.273842665114838	6.95841536503485	0.0308318299555974	ok
f1.0_r018	control	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r019	driver	150	23	-186.983391428107	-188.068759629424	0.904970235672157	0.665044997805129	3.98786834997709e-06	3.29493358003563e-07	9.28731581966252e-07	0.153684821524575	2.17073640263465	0.337777392914256	ok
f1.0_r019	control	150	125	-226.725012958056	-227.88464827129	0.68097333751355	0.930572497741459	1.02919881979811	1.79511712330385e-06	2.38332774617669e-06	0.205796785625485	2.31927062646923	0.313600525992711	ok
f1.0_r020	driver	150	52	-229.48545902299	-229.575863656537	0.823272040346397	0.863411779383163	0.102560132268355	0.256997951611639	2.81499612743871e-09	0.142580836377726	0.180809267093935	0.913561452862161	ok
f1.0_r020	control	150	116	-226.512241236379	-227.550270883685	1.28738286491084	0.755997511864996	0.899785571888435	0.00639863110589168	2.53905063464251e-08	0.0974661396233401	2.07605929461346	0.354151798900915	ok
f1.0_r021	driver	150	67	-192.294748195773	-192.847725128163	0.980415309056005	1.23989207399623	8.53370597376358e-07	0.599221234549195	0.00734119879882485	0.106969146726633	1.10595386477945	0.57523482376885	ok
f1.0_r021	control	150	82	-186.065144377559	-186.436896432661	1.09549959762832	1.09232373564223	0.123416239046369	0.381986502787259	2.67537415649273e-08	0.0701292051300932	0.743504110205436	0.68952518558243	ok
f1.0_r022	driver	150	125	-220.090720365039	-222.433659570029	0.601303138622904	1.16420817481497	0.273304006062547	0.488989019987257	0.204909753328787	0.103411614455155	4.68587840997986	0.0960449272318531	ok
f1.0_r022	control	150	68	-206.067615625166	-206.087438854985	1.04521671217291	1.05918989652713	0.427149723705264	0.399329994008043	5.24833175894439e-10	0.112613639372667	0.0396464596366286	0.980371958519702	ok
f1.0_r023	driver	150	131	-212.467912062754	-214.734570681014	1.07597610528431	1.0947142410786	1.36612523537521	0.441316752204702	1.66158372998061e-08	0.12001998388044	4.53331723651991	0.103657962889615	ok
f1.0_r023	control	150	9	-188.518848426515	-190.483757744468	1.07197263114617	0.708237558562867	0.384771500601819	0.45596157119537	9.37052598721854e-10	0.156065250499265	3.92981863590518	0.140168596814855	ok
f1.0_r024	driver	150	86	-196.06894290452	-196.846857627151	1.45921773084748	1.06577004653833	0.995235932273133	0.270281422134558	5.74830399226279e-10	0.158940407113146	1.55582944526287	0.459362912341502	ok
f1.0_r024	control	150	83	-195.113203400092	-196.170469686728	0.940531708091115	1.45558646360968	0.108520284176833	0.918761350491746	3.0370607317571e-09	0.0798280885719625	2.11453257327133	0.347404216954204	ok
f1.0_r025	driver	150	110	-216.186210565775	-217.23201765894	1.42931618664526	0.919291364109426	1.1002247903747	0.0569776939672814	7.55446474026712e-09	0.173189899117126	2.09161418633073	0.351408085829438	ok
f1.0_r025	control	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r026	driver	150	93	-221.937222072729	-221.939921142824	0.985615670545352	0.968625204807011	0.26074627079297	0.217760019925906	4.37031202382931e-08	0.134165348297862	0.0053981401883334	0.997304569120618	ok
f1.0_r026	control	150	114	-222.967303684698	-224.821411461602	1.28882206364855	0.923399057555318	1.2844632278987	0.0106771138507563	1.22002377804775e-09	0.221862068178839	3.70821555380797	0.156592595895498	ok
f1.0_r027	driver	150	82	-208.221679534633	-209.087234561462	0.994035454286454	0.78849425207364	3.45147721081958e-08	6.17137726032714e-06	4.5433738285985e-11	0.106823543710952	1.73111005365712	0.420817922560881	ok
f1.0_r027	control	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r028	driver	150	88	-240.088348851709	-240.205890720193	0.995868982443067	1.05110115057377	0.170090669733277	0.47684059357051	0.381213211236705	0.166520965703067	0.235083736966942	0.889103285560936	ok
f1.0_r028	control	150	66	-191.971558282938	-192.065984007579	0.990683445683759	1.08130667895003	0.262757977529584	0.471835504121723	3.37350299640814e-09	0.0641599074553222	0.188851449283277	0.909895314916811	ok
f1.0_r029	driver	150	7	-163.527047352598	-165.676387648258	1.13498527965287	0.632147479505206	0.279767484240256	0.301280442360376	1.8494448192804e-10	0.195163620594036	4.29868059131917	0.116561028231069	ok
f1.0_r029	control	150	92	-192.368655323646	-192.991859431503	1.38872423917708	1.01624767230215	0.838027791344804	0.157719168786879	9.93780823780047e-09	0.129644754992375	1.24640821571239	0.536223564000533	ok
f1.0_r030	driver	150	103	-197.009892588774	-197.897489006313	1.44461477769605	0.944209848365993	0.701491980101544	0.124372393005426	1.32955079248529e-07	0.106481314109509	1.77519283507695	0.411643984890334	ok
f1.0_r030	control	150	89	-196.05804543616	-197.230202839774	1.16572804135006	1.01004416393246	0.606676133836927	5.14682331950532e-07	0.094098082414801	0.0406037333585557	2.34431480722861	0.309698076269947	ok
f1.0_r031	driver	150	74	-204.344973539205	-205.032684263342	1.19085142855459	1.11114354694748	0.721660076041732	0.320877622946803	4.34681470630273e-09	0.167073404687434	1.37542144827461	0.502725630383713	ok
f1.0_r031	control	150	42	-189.098008799139	-190.72709193409	1.14112066399692	1.06171480061503	0.313226862148837	0.663965805828433	0.0127130477544286	0.0670094103378815	3.25816626990127	0.196109297484006	ok
f1.0_r032	driver	150	71	-221.357129240671	-221.945708434017	0.913403359872588	1.26733572169529	0.241770192791851	0.698030351492812	1.89820618909381e-09	0.144036390836274	1.17715838669227	0.555115436402057	ok
f1.0_r032	control	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r033	driver	150	123	-231.460307101834	-233.104828809072	1.54547750120384	0.816359017582956	1.6653298269602	1.54651047113782e-07	0.0486500321927449	0.176505235642755	3.28904341447583	0.193104901386218	ok
