tag	character	n_tips	n_present	lnL_full	lnL_null	lambda0	lambda1	mu0	mu1	q01	q10	chisq	p	status
n500_f3.0_r014	driver	500	458	-111.662295423988	-120.072531379696	1.25838505690727	3.06748631921352	0.68240700695388	0.614621029003694	9.89352707615329e-09	0.160156538074956	16.8204719114165	0.000222577332330308	ok
n500_f3.0_r014	control	500	412	-98.0591099450058	-98.6945277849254	2.98621141033935	2.86713782421191	3.31207818396965e-05	0.600767305345062	1.73753332878848e-06	0.100808553354362	1.27083567983922	0.529714106370059	ok
n500_f3.0_r015	driver	500	464	-97.5614752398429	-107.370129935385	0.974064010602869	3.05015801242037	0.782221910914801	0.474409122517815	7.01341320101193e-09	0.173011989905493	19.6173093910847	5.4973753509942e-05	ok
n500_f3.0_r015	control	500	433	-93.4728544261825	-93.7789851752969	3.34518474214814	2.81731063567237	1.43640132820702	0.275452263355727	1.86570357493897e-09	0.146093706359853	0.612261498228776	0.736290343851871	ok
n500_f3.0_r016	driver	500	461	-118.453306692715	-126.18549804576	1.3554579885278	2.94667362655041	1.66802870491186	0.361662400912043	3.16423569835723e-08	0.225095574194602	15.4643827060901	0.000438482194238933	ok
n500_f3.0_r016	control	500	435	-117.657690571562	-119.006148441636	3.3600866174286	2.72638138293492	2.12799829256586	0.0944473727862393	3.72222425190461e-08	0.202994364364258	2.69691574014695	0.259640351226533	ok
n500_f3.0_r017	driver	500	469	-70.7917784429121	-86.8617281964742	0.57331466142918	3.3635748852606	1.20102809936797e-06	0.811021482729553	3.30998505557287e-07	0.120580633664076	32.1398995071243	1.04932373775809e-07	ok
n500_f3.0_r017	control	500	361	-70.0788680127297	-71.2620644364917	4.01323049597512	2.99004153969881	2.04276164164565	0.49537963196931	5.93719210764958e-10	0.184749661239001	2.36639284752383	0.30629811362096	ok
n500_f3.0_r018	driver	500	469	-88.3019389549269	-96.2075422718097	1.02177573513077	3.24067404178661	2.35640569736878	0.684492665671359	1.6996484991468e-07	0.242621159871559	15.8112066337657	0.00036867195621128	ok
n500_f3.0_r018	control	500	428	-81.542033187673	-81.6918400100217	3.40757165417496	3.09143777345638	1.42480835228147	0.653947945172122	8.30355851727679e-09	0.143786204813364	0.299613644697473	0.860874262031182	ok
n500_f3.0_r019	driver	500	471	-72.4332959590994	-81.8415705759242	0.930583366974642	3.04710627832899	1.32404844619599	0.256253287109603	2.07661673543299e-08	0.185074825557309	18.8165492336496	8.20423798455276e-05	ok
n500_f3.0_r019	control	500	425	-67.9059187086934	-68.1016655884749	2.80404939275716	3.00695250496167	4.41520188744832e-10	0.417373335401046	9.48712097394704e-08	0.10063954980624	0.391493759562962	0.822220328929974	ok
n500_f3.0_r020	driver	500	484	-70.2844642363045	-73.2445420689214	1.23836225938387	2.78343824857253	3.14082209471502e-06	0.287471190230382	0.464490055277	0.0529452471116029	5.92015566523372	0.0518148841277526	ok
n500_f3.0_r020	control	500	476	-89.926412709781	-91.5942758916396	2.03163121823718	2.71796848934588	1.43191143821916	0.174907784030892	9.61230263683146e-09	0.0988403886524257	3.33572636371721	0.188649745457219	ok
n500_f3.0_r021	driver	500	470	-52.3996570082011	-60.3859585971671	0.939258916413321	2.9892059907272	0.298775960685109	0.00399547321552953	8.79344118890728e-09	0.144231497683948	15.9726031779321	0.00034008955126314	ok
n500_f3.0_r021	control	500	449	-63.0682951484094	-65.8587759966102	5.06173708541553	2.89491190046422	4.22509968567596	2.04664288124752e-06	2.64357324700261e-09	0.230256928534229	5.58096169640159	0.0613916867344133	ok
n500_f3.0_r022	driver	500	484	11.8625943126574	7.17539294725632	0.381554230073669	3.4746340447468	4.59329903494957e-07	0.452646811399179	2.45173688548696	0.164713821454671	9.37440273080214	0.00921243234425288	ok
