tag	character	n_tips	n_present	lnL_full	lnL_null	lambda0	lambda1	mu0	mu1	q01	q10	chisq	p	status
n1000_f3.0_r000	driver	1000	910	-183.076510207231	-204.694312718503	1.11955439245253	2.98564017192104	0.0921554087462193	0.168844191303518	4.22591544375357e-08	0.157516421309011	43.2356050225438	4.08796960896902e-10	ok
n1000_f3.0_r000	control	1000	894	-139.781333766224	-143.576907260687	2.04898324560839	2.98515583383295	5.1045522628268e-06	0.359123153378831	7.25251598387177e-08	0.0946263788636954	7.59114698892671	0.0224700156912906	ok
n1000_f3.0_r001	driver	1000	950	-120.737224818654	-135.137615680777	1.13204042566735	3.0641033689615	1.50978604595879	0.314574093101368	2.0099667355028e-07	0.156803935540571	28.8007817242473	5.57172549057621e-07	ok
n1000_f3.0_r001	control	1000	591	-95.7185481074284	-96.0039016274124	3.00529905629925	2.95849220218763	0.229138836255746	0.404070389921671	1.25949265951507e-09	0.12256818918487	0.570707039968113	0.751748449238658	ok
n1000_f3.0_r002	driver	1000	921	-187.409858885483	-206.879129759457	1.14107278920016	2.98074197178142	0.373629700971793	0.341843979083709	1.11343011158459e-08	0.143094571907793	38.9385417479478	3.50431463792933e-09	ok
n1000_f3.0_r002	control	1000	669	-160.720961384755	-161.297237866776	2.64178604821929	2.96730882606493	1.74136983264053e-07	0.591674344412189	1.40692340957412e-11	0.113298333424755	1.15255296404246	0.561987044401109	ok
n1000_f3.0_r003	driver	1000	942	-162.624734589871	-172.36759631725	1.69013259857199	2.97954657665029	2.03164206129142	0.293952320267994	2.10630813744457e-07	0.175887130988611	19.4857234547576	5.87122756736088e-05	ok
n1000_f3.0_r003	control	1000	830	-147.587679281451	-148.995784705519	3.67340890207448	2.78810467156059	1.52378625348121	0.13950776276026	2.0419639753036e-09	0.131266026159075	2.81621084813617	0.244606269584626	ok
n1000_f3.0_r004	driver	1000	937	-166.806311580555	-189.083511922945	0.816382120784076	3.22275575249327	0.167490701849209	0.812898331350719	1.08674778701999e-07	0.110363452316081	44.55440068478	2.1141452370053e-10	ok
n1000_f3.0_r004	control	1000	841	-174.752508466942	-174.775079712124	3.06764453786445	3.08640284938726	0.887360536461974	0.814487610054526	2.77422146673323e-08	0.103464456683237	0.0451424903648672	0.977681579609481	ok
